drum type,drum identifier
tom,KSHMR_Tom_Kit_03_01_Hi.wav
tom,KSHMR Tom - Droplet - C.wav
tom,KSHMR Tom - Resonant - A (C).wav
tom,KSHMR Tom 03 (A).wav
tom,KSHMR Tom - Splash - A.wav
tom,KSHMR_Tom_10_D.wav
tom,KSHMR_Tom_05_C.wav
tom,KSHMR_Tom_Kit_04_01_Hi.wav
tom,KSHMR Tom - Studio - D (D).wav
tom,KSHMR_Tom_21_Synth_C#.wav
tom,KSHMR Tom - Big 80s - D.wav
tom,KSHMR_Tom_Kit_01_01_Hi.wav
tom,KSHMR Tom - Noisy - C (E).wav
tom,KSHMR Tom 09 - C.wav
tom,KSHMR Tom - Splash - D.wav
tom,KSHMR Tom - Natural Tight - A.wav
tom,KSHMR_Tom_Kit_07_03_Low.wav
tom,KSHMR_Tom_Kit_07_02_Mid.wav
tom,KSHMR Tom 14 - D.wav
tom,KSHMR Tom - Vapor - B.wav
tom,KSHMR_Tom_Kit_08_03_Low.wav
tom,KSHMR_Tom_17_G#.wav
tom,KSHMR Tom - Low Boy - B.wav
tom,KSHMR Tom - Spacey - A.wav
tom,KSHMR Tom 26 - G#.wav
tom,KSHMR Tom - Quick - C.wav
tom,KSHMR Tom - Vapor - D.wav
tom,KSHMR_Tom_09_D.wav
tom,KSHMR_Tom_Kit_12_01_Hi.wav
tom,KSHMR_Tom_Kit_02_01_Hi.wav
tom,KSHMR_Tom_Kit_04_03_Low.wav
tom,KSHMR_Tom_Kit_08_01_Hi.wav
tom,KSHMR Tom - Punchy - B.wav
tom,KSHMR_Tom_23_Synth_D.wav
tom,KSHMR_Tom_Kit_07_01_Hi.wav
tom,KSHMR Tom - Smack - C.wav
tom,KSHMR Tom - Muffled - C (E).wav
tom,KSHMR Tom 20 - F#.wav
tom,KSHMR Tom - Quick - D.wav
tom,KSHMR_Tom_18_G#.wav
tom,KSHMR Tom 03 - A.wav
tom,KSHMR Tom 19 (F#).wav
tom,KSHMR Tom - Spacey - C.wav
tom,KSHMR_Tom_Kit_12_04_Lowest.wav
tom,KSHMR Tom - Dusty VHS - C.wav
tom,KSHMR Tom - Flammy - C.wav
tom,KSHMR Tom 05 - A.wav
tom,KSHMR Tom - Vapor - A.wav
tom,KSHMR Tom - Noisy - B (B).wav
tom,KSHMR Tom - Retro Baby - D.wav
tom,KSHMR Tom 02 - A#.wav
tom,KSHMR Tom 02 (A).wav
tom,KSHMR Tom - Punchy - C.wav
tom,KSHMR_Tom_Kit_10_02_Mid.wav
tom,KSHMR Tom 07 (A#).wav
tom,KSHMR_Tom_Kit_06_01_Hi.wav
tom,KSHMR_Tom_08_D.wav
tom,KSHMR Tom - Vapor - C.wav
tom,KSHMR Tom - Big 80s - C.wav
tom,KSHMR_Tom_27_Synth_G.wav
tom,KSHMR Tom Flam 01 - B.wav
tom,KSHMR_Tom_Kit_05_01_Hi.wav
tom,KSHMR Tom - Muffled - A (C).wav
tom,KSHMR Tom - Alien - B.wav
tom,KSHMR_Tom_Kit_10_01_Hi.wav
tom,KSHMR Tom - Big 80s - B.wav
tom,KSHMR Tom 28 - G#.wav
tom,KSHMR Tom 27 - G#.wav
tom,KSHMR_Tom_22_Synth_D.wav
tom,KSHMR Tom 11 - C.wav
tom,KSHMR_Tom_01_A#.wav
tom,KSHMR Tom 14 (D#).wav
tom,KSHMR Tom 10 (D).wav
tom,KSHMR Tom - Resonant - D (C).wav
tom,KSHMR_Tom_16_G.wav
tom,KSHMR Tom - Splash - B.wav
tom,KSHMR_Tom_Kit_01_02_Mid.wav
tom,KSHMR Tom 01 (A).wav
tom,KSHMR Tom - Dead - A (C).wav
tom,KSHMR Tom - Dead - C (D).wav
tom,KSHMR Tom 05 (A#).wav
tom,KSHMR_Tom_13_F.wav
tom,KSHMR Tom - Deep - D.wav
tom,KSHMR Tom 04 (A#).wav
tom,KSHMR Tom - Droplet - B.wav
tom,KSHMR Tom - Resonant - B (G).wav
tom,KSHMR Tom 15 (D#).wav
tom,KSHMR Tom - Retro Baby - A.wav
tom,KSHMR Tom 21 - F.wav
tom,KSHMR Tom - Natural Tight - D.wav
tom,KSHMR Tom 13 - D.wav
tom,KSHMR Tom 15 - D.wav
kick,KSHMR Punchy Kick 25 (G#).wav
kick,KSHMR_Psy_Kick_09_F.wav
kick,KSHMR Punchy Kick 21 (F#).wav
kick,KSHMR House Kick 26.wav
kick,KSHMR_Psy_Kick_06_B.wav
kick,KSHMR_Punchy_Kick_33_G.wav
kick,KSHMR_Punchy_Kick_16__G#_.wav
kick,KSHMR Punchy Kick 10 (D).wav
kick,KSHMR_Psy_Kick_04_A#.wav
kick,KSHMR_Psy_Kick_07_C.wav
kick,KSHMR_Punchy_Kick_31_F#.wav
kick,KSHMR Pop Kick 21.wav
kick,KSHMR_Punchy_Kick_16_F.wav
kick,KSHMR_Punchy_Kick_43_G#.wav
kick,KSHMR_Psy_Kick_13_F#.wav
kick,KSHMR_Punchy_Kick_08_E.wav
kick,KSHMR House Kick 23.wav
kick,KSHMR_Punchy_Kick_27_F#.wav
kick,KSHMR Punchy Kick 13 (E).wav
kick,KSHMR Punchy Kick 16 (E).wav
kick,KSHMR Pop Kick 10.wav
kick,KSHMR Punchy Kick 09 (D).wav
kick,KSHMR_Psy_Kick_02_A.wav
kick,KSHMR_Punchy_Kick_09_E.wav
kick,KSHMR House Kick 20.wav
kick,KSHMR_Psy_Kick_14_G.wav
kick,KSHMR_Punchy_Kick_37_G.wav
kick,KSHMR_Punchy_Kick_34_G.wav
kick,KSHMR Punchy Kick 08 (D#).wav
kick,KSHMR House Kick 16.wav
kick,KSHMR Punchy Kick 14 (E).wav
kick,KSHMR_Punchy_Kick_32_F#.wav
kick,KSHMR Punchy Kick 12 (E).wav
kick,KSHMR_Punchy_Kick_41_G#.wav
kick,KSHMR Punchy Kick 18 (F#).wav
kick,KSHMR_Punchy_Kick_42_G#.wav
kick,KSHMR_Punchy_Kick_35_G.wav
kick,KSHMR_Punchy_Kick_14_F.wav
kick,KSHMR House Kick 25.wav
kick,KSHMR Punchy Kick 19 (F#).wav
kick,KSHMR_Punchy_Kick_28_F#.wav
kick,KSHMR Punchy Kick 31 (G).wav
kick,KSHMR_Punchy_Kick_04_D.wav
kick,KSHMR_Punchy_Kick_13_F.wav
kick,KSHMR_Punchy_Kick_19_F.wav
kick,KSHMR_Punchy_Kick_15_F.wav
kick,KSHMR Punchy Kick 23 (F).wav
kick,KSHMR_Punchy_Kick_21_F#.wav
kick,KSHMR_Punchy_Kick_07_E.wav
kick,KSHMR_Punchy_Kick_30_F#.wav
kick,KSHMR_Psy_Kick_10_F#.wav
kick,KSHMR House Kick 17.wav
kick,KSHMR_Punchy_Kick_39_G.wav
kick,KSHMR_Psy_Kick_12_F#.wav
kick,KSHMR_Punchy_Kick_03_C#.wav
kick,KSHMR Punchy Kick 20 (F#).wav
kick,KSHMR_Psy_Kick_05_A#.wav
kick,KSHMR House Kick 18.wav
kick,KSHMR_Psy_Kick_11_F#.wav
kick,KSHMR Pop Kick 14.wav
kick,KSHMR Punchy Kick 02 (A).wav
kick,KSHMR_Punchy_Kick_40_G.wav
kick,KSHMR Punchy Kick 11 (E).wav
kick,KSHMR_Punchy_Kick_26_F#.wav
kick,KSHMR Punchy Kick 03 (A).wav
kick,KSHMR_Punchy_Kick_10_E.wav
kick,KSHMR House Kick 19.wav
kick,KSHMR Punchy Kick 15 (E).wav
kick,KSHMR House Kick 21.wav
kick,KSHMR Punchy Kick 28 (G).wav
kick,KSHMR_Punchy_Kick_06_D#.wav
kick,KSHMR Punchy Kick 29 (G).wav
kick,KSHMR House Kick 22.wav
kick,KSHMR_Punchy_Kick_12_F.wav
kick,KSHMR_Punchy_Kick_23_F#.wav
kick,KSHMR_Punchy_Kick_01_A.wav
kick,KSHMR Punchy Kick 27 (G).wav
kick,KSHMR_Punchy_Kick_25_F#.wav
kick,KSHMR Punchy Kick 24 (F).wav
kick,KSHMR_Punchy_Kick_11_E.wav
kick,KSHMR_Punchy_Kick_02_A.wav
kick,KSHMR_Punchy_Kick_29_F#.wav
kick,KSHMR_Punchy_Kick_05_D#.wav
kick,KSHMR Punchy Kick 06 (D#).wav
kick,KSHMR_Punchy_Kick_22_F#.wav
kick,KSHMR Punchy Kick 05 (C).wav
kick,KSHMR Punchy Kick 07 (D#).wav
kick,KSHMR_Punchy_Kick_38_G.wav
kick,KSHMR Punchy Kick 01 (A#).wav
kick,KSHMR_Punchy_Kick_18_F.wav
kick,KSHMR_Psy_Kick_01_A.wav
kick,KSHMR_Punchy_Kick_24_F#_Soft.wav
kick,KSHMR Punchy Kick 26 (G#).wav
kick,KSHMR_Punchy_Kick_20_F.wav
kick,KSHMR_Punchy_Kick_44_G#_Soft.wav
kick,KSHMR Punchy Kick 22 (F).wav
kick,KSHMR_Punchy_Kick_36_G_Soft.wav
kick,KSHMR Punchy Kick 17 (E).wav
kick,KSHMR Punchy Kick 04 (A).wav
kick,KSHMR_Psy_Kick_15_G#.wav
kick,KSHMR_Psy_Kick_03_A#.wav
kick,KSHMR Punchy Kick 30 (G).wav
kick,KSHMR_Psy_Kick_16_G#.wav
snare,KSHMR Hard Snare 07 (F).wav
snare,KSHMR_Big_Snare_15.wav
snare,KSHMR_Hard_Snare_09_F.wav
snare,KSHMR_Tight_Snare_14_C#.wav
snare,KSHMR_Hard_Snare_13_G.wav
snare,KSHMR_Tight_Snare_07_A#.wav
snare,KSHMR_Big_Snare_10.wav
snare,KSHMR_Hip_Hop_Snare_10_D.wav
snare,KSHMR Hard Snare 03 (C).wav
snare,KSHMR Big Snare 05.wav
snare,KSHMR_Tight_Snare_17_C#.wav
snare,KSHMR_Tight_Snare_23_E.wav
snare,KSHMR Big Snare 08.wav
snare,KSHMR_Hip_Hop_Snare_08_C#.wav
snare,KSHMR_Big_Snare_03.wav
snare,KSHMR_Hip_Hop_Snare_05_B.wav
snare,KSHMR_Hip_Hop_Snare_21_F.wav
snare,KSHMR_Hip_Hop_Snare_09_C#.wav
snare,KSHMR_Tight_Snare_15_C#.wav
snare,KSHMR_Hip_Hop_Snare_22_F#.wav
snare,KSHMR_Tight_Snare_24_E.wav
snare,KSHMR_Tight_Snare_21_E.wav
snare,KSHMR_Hip_Hop_Snare_03_A#.wav
snare,KSHMR Trap Snare 14 (G#).wav
snare,KSHMR_Big_Snare_11.wav
snare,KSHMR_Tight_Snare_37_G.wav
snare,KSHMR Hard Snare 19.wav
snare,KSHMR Hard Snare 02 (A).wav
snare,KSHMR_Hip_Hop_Snare_12_D#.wav
snare,KSHMR_Hard_Snare_10_F#.wav
snare,KSHMR_Big_Snare_06.wav
snare,KSHMR_Tight_Snare_06_A#.wav
snare,KSHMR_Big_Snare_16.wav
snare,KSHMR_Tight_Snare_12_B.wav
snare,KSHMR_Hard_Snare_07_E.wav
snare,KSHMR Trap Snare 11 (G).wav
snare,KSHMR Trap Snare 16.wav
snare,KSHMR_Hip_Hop_Snare_07_C.wav
snare,KSHMR Trap Snare 15 (G#).wav
snare,KSHMR Trap Snare 09 (E).wav
snare,KSHMR Trap Snare 05 (C#).wav
snare,KSHMR Trap Snare 10 (F).wav
snare,KSHMR Hard Snare 16 (G#).wav
snare,KSHMR Hard Snare 09 (F).wav
snare,KSHMR_Tight_Snare_16_C#.wav
snare,KSHMR Trap Snare 11 (F#).wav
snare,KSHMR Hard Snare 08 (F).wav
snare,KSHMR_Hard_Snare_12_G.wav
snare,KSHMR_Hip_Hop_Snare_28_G#.wav
snare,KSHMR Hard Snare 10 (F#).wav
snare,KSHMR Trap Snare 07 (D).wav
snare,KSHMR_Hip_Hop_Snare_06_B.wav
snare,KSHMR_Hard_Snare_15_G#.wav
snare,KSHMR_Big_Snare_12.wav
snare,KSHMR_Tight_Snare_04_A.wav
snare,KSHMR_Hip_Hop_Snare_04_B.wav
snare,KSHMR_Tight_Snare_27_E.wav
snare,KSHMR Hard Snare 11 (F#).wav
snare,KSHMR Big Snare 04.wav
snare,KSHMR_Big_Snare_04.wav
snare,KSHMR Hard Snare 17 (G#).wav
snare,KSHMR_Tight_Snare_20_D#.wav
snare,KSHMR_Hip_Hop_Snare_18_F.wav
snare,KSHMR_Tight_Snare_10_B.wav
snare,KSHMR Trap Snare 06 (C#).wav
snare,KSHMR_Big_Snare_08.wav
snare,KSHMR_Tight_Snare_41_G#.wav
snare,KSHMR Hard Snare 18.wav
snare,KSHMR Hard Snare 06 (D).wav
snare,KSHMR_Hip_Hop_Snare_20_F.wav
snare,KSHMR Trap Snare 03 (A#).wav
snare,KSHMR_Tight_Snare_11_B.wav
snare,KSHMR_Tight_Snare_19_D#.wav
snare,KSHMR_Hip_Hop_Snare_02_A#.wav
snare,KSHMR_Tight_Snare_31_F.wav
snare,KSHMR_Hip_Hop_Snare_27_G#.wav
snare,KSHMR Big Snare 07.wav
snare,KSHMR_Hip_Hop_Snare_23_F#.wav
snare,KSHMR_Hip_Hop_Snare_15_E.wav
snare,KSHMR_Hip_Hop_Snare_17_E.wav
snare,KSHMR_Hard_Snare_03_D#.wav
snare,KSHMR_Tight_Snare_05_A.wav
snare,KSHMR Hard Snare 14 (G).wav
snare,KSHMR_Hip_Hop_Snare_11_D.wav
snare,KSHMR_Big_Snare_21.wav
snare,KSHMR_Big_Snare_18.wav
snare,KSHMR Big Snare 02.wav
snare,KSHMR_Big_Snare_14.wav
snare,KSHMR_Hip_Hop_Snare_01_A.wav
snare,KSHMR Hard Snare 13 (G).wav
snare,KSHMR_Big_Snare_13.wav
snare,KSHMR_Tight_Snare_36_F#.wav
snare,KSHMR_Big_Snare_02.wav
snare,KSHMR_Big_Snare_20.wav
snare,KSHMR_Hard_Snare_06_E.wav
snare,KSHMR_Big_Snare_09.wav
snare,KSHMR_Tight_Snare_18_D#.wav
snare,KSHMR_Hard_Snare_14_G.wav
snare,KSHMR_Tight_Snare_38_G.wav
snare,KSHMR_Tight_Snare_03_A.wav
snare,KSHMR_Hard_Snare_04_D#.wav
snare,KSHMR_Big_Snare_01.wav
snare,KSHMR_Tight_Snare_32_F.wav
snare,KSHMR Trap Snare 08 (D#).wav
snare,KSHMR_Big_Snare_17.wav
snare,KSHMR_Big_Snare_05.wav
snare,KSHMR_Tight_Snare_40_G.wav
snare,KSHMR_Tight_Snare_02_A.wav
snare,KSHMR_Tight_Snare_25_E.wav
snare,KSHMR Hard Snare 12 (F#).wav
snare,KSHMR_Hip_Hop_Snare_14_E.wav
snare,KSHMR Trap Snare 12 (G).wav
snare,KSHMR_Hip_Hop_Snare_19_F.wav
snare,KSHMR_Hard_Snare_08_F.wav
snare,KSHMR_Hard_Snare_05_E.wav
snare,KSHMR Big Snare 01.wav
snare,KSHMR_Tight_Snare_01_A.wav
snare,KSHMR_Hip_Hop_Snare_25_G#.wav
snare,KSHMR Big Snare 03.wav
snare,KSHMR Hard Snare 01.wav
snare,KSHMR_Hard_Snare_11_G.wav
snare,KSHMR_Hard_Snare_01_A#.wav
snare,KSHMR_Tight_Snare_08_A#.wav
snare,KSHMR_Tight_Snare_39_G.wav
snare,KSHMR Hard Snare 15 (G).wav
snare,KSHMR_Tight_Snare_22_E.wav
snare,KSHMR_Hip_Hop_Snare_16_E.wav
snare,KSHMR_Tight_Snare_28_F.wav
snare,KSHMR Hard Snare 04 (C#).wav
snare,KSHMR_Tight_Snare_26_E.wav
snare,KSHMR_Hip_Hop_Snare_13_E.wav
snare,KSHMR_Tight_Snare_09_A#.wav
snare,KSHMR_Tight_Snare_13_C.wav
snare,KSHMR_Tight_Snare_30_F.wav
snare,KSHMR Trap Snare 13 (G#).wav
snare,KSHMR Trap Snare 01 (A).wav
snare,KSHMR_Hard_Snare_16_G#.wav
snare,KSHMR_Hip_Hop_Snare_24_G.wav
snare,KSHMR_Hip_Hop_Snare_26_G#.wav
snare,KSHMR_Hard_Snare_02_C#.wav
snare,KSHMR Trap Snare 02 (A#).wav
snare,KSHMR Hard Snare 05 (C#).wav
snare,KSHMR_Tight_Snare_35_F#.wav
snare,KSHMR Big Snare 06.wav
snare,KSHMR_Big_Snare_07.wav
snare,KSHMR Trap Snare 04 (B).wav
snare,KSHMR_Tight_Snare_33_F#.wav
snare,KSHMR_Tight_Snare_34_F#.wav
snare,KSHMR_Tight_Snare_29_F.wav
snare,KSHMR_Big_Snare_19.wav
cymbal,KSHMR Ride 04.wav
cymbal,KSHMR_Ride_10.wav
cymbal,KSHMR_Crash_FX_01_Glitch_Out.wav
cymbal,KSHMR_Crash_04.wav
cymbal,KSHMR Rides 01.wav
cymbal,KSHMR Ride 08.wav
